23 Jun 2016 22:59:37 : Cipher , Calamariela#4119 , Yay go wert lok
23 Jun 2016 23:00:03 : Cipher , Calamariela#4119 , Omg toph
23 Jun 2016 23:00:19 : Cipher , Wertfuzzy77#0274 , one sec afk
23 Jun 2016 23:00:22 : Cipher , Topheralan#1202 , Sorry, took me a while to catch up on all the messages
23 Jun 2016 23:00:52 : Cipher , Nalk Xulk Uk Eht#7098 , bet
23 Jun 2016 23:01:07 : Cipher , Calamariela#4119 , Want to topmari now?
23 Jun 2016 23:02:47 : Cipher , Wertfuzzy77#0274 , no, <#195366716186820608>  will never sink
23 Jun 2016 23:02:51 : Cipher , Topheralan#1202 , No one wants to top Mari oops sorry thanks
23 Jun 2016 23:02:56 : Cipher , Wertfuzzy77#0274 , lol
23 Jun 2016 23:03:09 : Cipher , Calamariela#4119 , Lol I wish. Everyone wants to
23 Jun 2016 23:03:24 : Cipher , Wertfuzzy77#0274 , also, Apparently #Skyianths best ship
23 Jun 2016 23:03:40 : Cipher , Wertfuzzy77#0274 , actually, really nice
23 Jun 2016 23:03:52 : Cipher , Nalk Xulk Uk Eht#7098 , ya alli and sky is bae ship
23 Jun 2016 23:03:58 : Cipher , Topheralan#1202 , So Gil has an npc editor in one of his boxes and I was curious so I used it and it said in red letters "using pixelmon tool? IM TELLING ON YOU!"
23 Jun 2016 23:04:02 : Cipher , Topheralan#1202 , Lmao
23 Jun 2016 23:04:04 : Cipher , Wertfuzzy77#0274 , yup
23 Jun 2016 23:04:05 : Cipher , Wertfuzzy77#0274 , sane
23 Jun 2016 23:04:08 : Cipher , Wertfuzzy77#0274 , v annoying
23 Jun 2016 23:04:17 : Cipher , Wertfuzzy77#0274 , even when i have perms to edit
23 Jun 2016 23:04:20 : Cipher , Wertfuzzy77#0274 , still has message
23 Jun 2016 23:04:24 : Cipher , Topheralan#1202 , Lol
23 Jun 2016 23:05:10 : Cipher , Wertfuzzy77#0274 , thne <#195366716186820608>  and #WertMari tied for 2nd
23 Jun 2016 23:05:19 : Cipher , Wertfuzzy77#0274 , gtg, dinner, bbl
23 Jun 2016 23:05:36 : Cipher , Wertfuzzy77#0274 , i leave online, for bot
23 Jun 2016 23:06:05 : Cipher , Wertfuzzy77#0274 , gotta close that cipher ships poll tho
23 Jun 2016 23:06:14 : Cipher , Nalk Xulk Uk Eht#7098 , no
23 Jun 2016 23:06:14 : Cipher , Wertfuzzy77#0274 , dont need anyone seeing that
23 Jun 2016 23:06:30 : Cipher , Nalk Xulk Uk Eht#7098 , has everyone in cipher voted?
23 Jun 2016 23:06:41 : Cipher , Wertfuzzy77#0274 , no not close, but "close"
23 Jun 2016 23:06:43 : Cipher , Topheralan#1202 , Everyone who is active I think. 
23 Jun 2016 23:06:48 : Cipher , Wertfuzzy77#0274 , k bai
23 Jun 2016 23:07:05 : Cipher , Nalk Xulk Uk Eht#7098 , then leave it till everyone votes
23 Jun 2016 23:07:23 : Cipher , Topheralan#1202 , Does anyone have a lucky egg? Mine keep disappearing. 
23 Jun 2016 23:07:30 : Cipher , Nalk Xulk Uk Eht#7098 , bet
23 Jun 2016 23:12:24 : LimitlessMc , Botfuzzy77#2926 , Welcome <@195677469431300097> to LimitlessMc!
23 Jun 2016 23:12:39 : LimitlessMc , supercookies432#1266 , hello
23 Jun 2016 23:12:39 : LimitlessMc , Botfuzzy77#2926 , *From The Other Side*
23 Jun 2016 23:12:46 : LimitlessMc , supercookies432#1266 , hello
23 Jun 2016 23:12:46 : LimitlessMc , Botfuzzy77#2926 , *From The Other Side*
23 Jun 2016 23:54:53 : LimitlessMc , MoonWolf (Fornor)#8885 , !youtube Nightcore - Centuries
24 Jun 2016 00:07:40 : LimitlessMc , Nerokin#3586 , <@&148203743362547712> Can someone kill <@158641216311787520>
24 Jun 2016 00:07:57 : LimitlessMc , Nalk Xulk Uk Eht#7098 , bet
24 Jun 2016 00:10:03 : LimitlessMc , Impasta Snake#1447 , !youtube 7th element
24 Jun 2016 00:12:33 : LimitlessMc , Nerokin#3586 , It's stuck on playing 700 Subscriber special
24 Jun 2016 00:12:42 : LimitlessMc , MoonWolf (Fornor)#8885 , !ev att
