**Rating**: 9.17 (by 341,776 users)
10 Jul 2016 02:35:07 : The Pleb Privateers , enragednuke#2565 , lol
10 Jul 2016 02:35:09 : The Pleb Privateers , enragednuke#2565 , that took awhile
10 Jul 2016 02:35:11 : The Pleb Privateers , Wertfuzzy77#0274 , there we go xD
10 Jul 2016 02:35:23 : The Pleb Privateers , enragednuke#2565 , <gintama>
10 Jul 2016 02:35:32 : The Pleb Privateers , enragednuke#2565 , bot y r u so slow
10 Jul 2016 02:35:46 : The Pleb Privateers , Wertfuzzy77#0274 , <@187609093001838602>  you better not get that slow
10 Jul 2016 02:35:46 : The Pleb Privateers , Botfuzzy77#2209 , Wut
10 Jul 2016 02:35:49 : The Pleb Privateers , enragednuke#2565 , oh
10 Jul 2016 02:35:49 : The Pleb Privateers , enragednuke#2565 , shit
10 Jul 2016 02:35:50 : The Pleb Privateers , enragednuke#2565 , itt died
10 Jul 2016 02:35:52 : The Pleb Privateers , Wertfuzzy77#0274 , lol
10 Jul 2016 02:35:53 : The Pleb Privateers , Wertfuzzy77#0274 , gj
10 Jul 2016 02:36:00 : The Pleb Privateers , enragednuke#2565 , Task was destroyed but it is pending!
task: <Task pending coro=<_run_event() running at C:\Users\Dylan\AppData\Local\Programs\Python\Python35-32\lib\site-packages\discord\client.py:245> wait_for=<Future pending cb=[Task._wakeup()]>>
10 Jul 2016 02:36:04 : The Pleb Privateers , enragednuke#2565 , what tthe fuck?
10 Jul 2016 02:36:05 : The Pleb Privateers , Wertfuzzy77#0274 , rip
10 Jul 2016 02:36:13 : The Pleb Privateers , Wertfuzzy77#0274 , sounds like a you problem
10 Jul 2016 02:36:28 : The Pleb Privateers , enragednuke#2565 , <gintama>
10 Jul 2016 02:36:31 : The Pleb Privateers , enragedrobo#6009 , **Gintama**
Link: <http://myanimelist.net/anime/918/Gintama>
**Episodes**: 201
**Status**: Finished Airing
**Rating**: 9.05 (by 94,643 users)
10 Jul 2016 02:36:37 : The Pleb Privateers , enragednuke#2565 , there it goes
10 Jul 2016 02:36:39 : The Pleb Privateers , enragednuke#2565 , not tthe rightt ginttama
10 Jul 2016 02:36:40 : The Pleb Privateers , enragednuke#2565 , but w.e
10 Jul 2016 02:36:55 : The Pleb Privateers , enragednuke#2565 , [berserk]
10 Jul 2016 02:36:58 : The Pleb Privateers , enragedrobo#6009 , **Berserk**
Link: <http://myanimelist.net/manga/2/Berserk>
**Volumes**: Unknown
**Chapters**: Unknown
**Status**: Publishing
**Rating**: 9.24 (by 51027 users)
10 Jul 2016 02:37:43 : Cipher , Wertfuzzy77#0274 , i wonder if i could see how much time remains in the song
10 Jul 2016 02:37:49 : Cipher , Wertfuzzy77#0274 , ;debug player.duration
10 Jul 2016 02:37:49 : Cipher , Botfuzzy77#2209 , ```py
311
```
10 Jul 2016 02:37:56 : Cipher , Wertfuzzy77#0274 , ;debug player.duration / 60
10 Jul 2016 02:37:56 : Cipher , Botfuzzy77#2209 , ```py
5.183333333333334
```
10 Jul 2016 02:38:28 : Cipher , Wertfuzzy77#0274 , ;debug log(player.duration,60)
10 Jul 2016 02:38:28 : Cipher , Botfuzzy77#2209 , ```py
NameError: name 'log' is not defined
```
10 Jul 2016 02:38:30 : Cipher , Wertfuzzy77#0274 , rip
10 Jul 2016 02:38:52 : Cipher , Wertfuzzy77#0274 , ;youtube https://www.youtube.com/watch?v=K6S4O-VtZBI
10 Jul 2016 02:39:14 : Cipher , Wertfuzzy77#0274 , ;debug math.log(player.duration,60)
10 Jul 2016 02:39:14 : Cipher , Botfuzzy77#2209 , ```py
NameError: name 'math' is not defined
```
10 Jul 2016 02:39:36 : Cipher , Wertfuzzy77#0274 , no cir
10 Jul 2016 02:39:39 : Cipher , Wertfuzzy77#0274 , cri *
10 Jul 2016 02:39:40 : Cipher , Wertfuzzy77#0274 , ;relog
