23 Jun 2016 00:33:44 : LimitlessMc , Wertfuzzy77#0274 , Lol "shiny ray"
23 Jun 2016 00:33:49 : LimitlessMc , Genesect#6492 , <@134441036905840640>  ayy lmao
23 Jun 2016 00:33:55 : LimitlessMc , Wertfuzzy77#0274 , Ayy
23 Jun 2016 00:33:56 : LimitlessMc , Botfuzzy77#2926 , Lmao
23 Jun 2016 00:33:56 : LimitlessMc , Botfuzzy77#2926 , Welcome <@107622790940602368> to LimitlessMc!
23 Jun 2016 00:33:58 : LimitlessMc , TheMajesticSeal#2289 , cant you check logs?
23 Jun 2016 00:34:01 : LimitlessMc , Mank#0033 , no
23 Jun 2016 00:34:05 : LimitlessMc , TheMajesticSeal#2289 , see who it spawned near?
23 Jun 2016 00:34:06 : LimitlessMc , Wertfuzzy77#0274 , Bot still online??
Wut
23 Jun 2016 00:34:09 : LimitlessMc , yu grey#1649 , hello mods
23 Jun 2016 00:34:11 : LimitlessMc , TheMajesticSeal#2289 , i was with lukenator12
23 Jun 2016 00:34:14 : LimitlessMc , Wertfuzzy77#0274 , Hello trainer
23 Jun 2016 00:34:17 : LimitlessMc , TheMajesticSeal#2289 , so it was probably one of us
23 Jun 2016 00:34:19 : LimitlessMc , yu grey#1649 , im am glitched on the server
23 Jun 2016 00:34:25 : LimitlessMc , Wertfuzzy77#0274 , Ask mabj
23 Jun 2016 00:34:28 : LimitlessMc , Mank#0033 , <@134441036905840640> give him your celebi okei
23 Jun 2016 00:34:29 : LimitlessMc , yu grey#1649 , can u do /kick on me?
23 Jun 2016 00:34:29 : LimitlessMc , Wertfuzzy77#0274 , Mank*
23 Jun 2016 00:34:32 : LimitlessMc , Wertfuzzy77#0274 , Nu
23 Jun 2016 00:34:39 : LimitlessMc , Mank#0033 , theyre shit cmon mang
23 Jun 2016 00:34:48 : LimitlessMc , Genesect#6492 , i have one
23 Jun 2016 00:34:52 : LimitlessMc , Wertfuzzy77#0274 , You just pokegive him 1
23 Jun 2016 00:34:52 : LimitlessMc , Genesect#6492 , but its mine
23 Jun 2016 00:34:53 : LimitlessMc , Genesect#6492 , kekekekk
23 Jun 2016 00:34:54 : LimitlessMc , Wertfuzzy77#0274 , Bum
23 Jun 2016 00:35:13 : LimitlessMc , Genesect#6492 , and take a mball from him
23 Jun 2016 00:35:13 : LimitlessMc , Mank#0033 , nah that cheating
23 Jun 2016 00:35:18 : LimitlessMc , Wertfuzzy77#0274 , Bet
23 Jun 2016 00:35:21 : LimitlessMc , Genesect#6492 , bey
23 Jun 2016 00:35:23 : LimitlessMc , Genesect#6492 , bet*
23 Jun 2016 00:35:25 : LimitlessMc , TheMajesticSeal#2289 , .-.
23 Jun 2016 00:35:29 : LimitlessMc , yu grey#1649 , Hello can a mod help me on the server?
23 Jun 2016 00:35:35 : LimitlessMc , Mank#0033 , yu grey what is your name
23 Jun 2016 00:35:39 : LimitlessMc , Genesect#6492 , <@134441036905840640>  make botfuzzy say bet back when you say bet
23 Jun 2016 00:35:40 : LimitlessMc , yu grey#1649 , pineco
23 Jun 2016 00:35:43 : LimitlessMc , Nalk Xulk Uk Eht#7098 , <@151438890107011072> you already hack, there wouldn't be a difference
23 Jun 2016 00:35:46 : LimitlessMc , yu grey#1649 , i cannot log in
23 Jun 2016 00:35:51 : LimitlessMc , Wertfuzzy77#0274 , Y <@135660968804876289>
23 Jun 2016 00:35:53 : LimitlessMc , yu grey#1649 , and my friend said im on the server
23 Jun 2016 00:35:56 : LimitlessMc , Genesect#6492 , <@134441036905840640>  dank meme
23 Jun 2016 00:36:04 : LimitlessMc , Genesect#6492 , thats happenening to me too
23 Jun 2016 00:36:04 : LimitlessMc , Wertfuzzy77#0274 , Alright, maybe later
23 Jun 2016 00:36:08 : LimitlessMc , Genesect#6492 , it says im online
23 Jun 2016 00:36:11 : LimitlessMc , Genesect#6492 , but im not
23 Jun 2016 00:36:13 : LimitlessMc , Genesect#6492 , and i cant join
23 Jun 2016 00:36:16 : LimitlessMc , yu grey#1649 , ^
