21 Jul 2016 05:23:54 : League Of Legends, general, GN4R#8315, bet this big black bitch
21 Jul 2016 05:24:07 : League Of Legends, general, RoyGasm#7098, _tts wtf black bitches okei
21 Jul 2016 05:24:08 : League Of Legends, general, GN4R#8315, wtf black bitches okei
21 Jul 2016 05:24:21 : League Of Legends, general, RoyGasm#7098, _tts want to buy black blitches okei *
21 Jul 2016 05:24:21 : League Of Legends, general, GN4R#8315, want to buy black blitches okei *
21 Jul 2016 05:25:55 : League Of Legends, general, Legit_0reo#9709, _tts shut that shit up roy
21 Jul 2016 05:25:55 : League Of Legends, general, GN4R#8315, shut that shit up roy
21 Jul 2016 05:26:53 : League Of Legends, general, RoyGasm#7098, _tts wukong is sheeet okei thank
21 Jul 2016 05:26:53 : League Of Legends, general, GN4R#8315, wukong is sheeet okei thank
21 Jul 2016 05:30:03 : League Of Legends, general, Botfuzzy77#2209, **TheLast1Alive**(Security) is now Offline!
21 Jul 2016 05:31:49 : League Of Legends, general, Legit_0reo#9709, _tts 4 fucking kills with wu kong okei he no bad
21 Jul 2016 05:31:49 : League Of Legends, general, GN4R#8315, 4 fucking kills with wu kong okei he no bad
21 Jul 2016 05:33:06 : League Of Legends, general, Legit_0reo#9709, _tts fucking worth it u cunt muffins
21 Jul 2016 05:33:06 : League Of Legends, general, GN4R#8315, fucking worth it u cunt muffins
21 Jul 2016 05:33:12 : League Of Legends, general, RoyGasm#7098, stfu
21 Jul 2016 05:33:24 : League Of Legends, general, RoyGasm#7098, _tts bitch i'm trying to play stfu
21 Jul 2016 05:33:24 : League Of Legends, general, GN4R#8315, bitch i'm trying to play stfu
21 Jul 2016 05:33:40 : League Of Legends, general, Legit_0reo#9709, _tts bitch dont feed lelelelelellelelelellelelelelle
21 Jul 2016 05:33:40 : League Of Legends, general, GN4R#8315, bitch dont feed lelelelelellelelelellelelelelle
21 Jul 2016 05:35:19 : League Of Legends, general, RoyGasm#7098, _tts bitch hep leeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee @@@@@@@@@@@@@@@@@@@@@
