03 Dec 2016 04:31:42 : LimitlessMc, mainchat, Third_Worm#4804, Lol, Legend we know
03 Dec 2016 04:31:51 : LimitlessMc, mainchat, AlphaBit#3869, :I
03 Dec 2016 04:31:54 : LimitlessMc, mainchat, crystal4209#4698, shush
03 Dec 2016 04:31:56 : LimitlessMc, mainchat, Third_Worm#4804, Pft
03 Dec 2016 04:31:59 : LimitlessMc, mainchat, Third_Worm#4804, K
03 Dec 2016 04:32:06 : LimitlessMc, mainchat, AlphaBit#3869, twiggud
03 Dec 2016 04:32:09 : LimitlessMc, mainchat, Third_Worm#4804, Lol
03 Dec 2016 04:32:13 : LimitlessMc, mainchat, Lightning#6734, #twiggered
03 Dec 2016 04:32:16 : LimitlessMc, mainchat, Third_Worm#4804, Same Miles
03 Dec 2016 04:32:20 : LimitlessMc, mainchat, Third_Worm#4804, Same
03 Dec 2016 04:32:31 : LimitlessMc, mainchat, Lightning#6734, lel where is depth when we need her shenanigans XD
03 Dec 2016 04:32:45 : LimitlessMc, mainchat, crystal4209#4698, sort of
03 Dec 2016 04:32:46 : LimitlessMc, mainchat, Third_Worm#4804, A what?
03 Dec 2016 04:32:49 : LimitlessMc, mainchat, Third_Worm#4804, Oh
03 Dec 2016 04:32:51 : LimitlessMc, mainchat, Third_Worm#4804, Kinda
03 Dec 2016 04:32:57 : LimitlessMc, mainchat, Third_Worm#4804, Lizard
03 Dec 2016 04:33:09 : LimitlessMc, mainchat, crystal4209#4698, yeah i new that
03 Dec 2016 04:33:15 : LimitlessMc, mainchat, Third_Worm#4804, I kinda guessed that
03 Dec 2016 04:33:15 : LimitlessMc, mainchat, AlphaBit#3869, thats the lizard that shoots blood lasers right
03 Dec 2016 04:33:23 : LimitlessMc, mainchat, crystal4209#4698, brb
03 Dec 2016 04:33:30 : LimitlessMc, mainchat, Lightning#6734, lele blood lasers?
03 Dec 2016 04:34:02 : LimitlessMc, mainchat, Third_Worm#4804, Ah kk
03 Dec 2016 04:34:14 : LimitlessMc, mainchat, crystal4209#4698, ok im back
03 Dec 2016 04:34:50 : LimitlessMc, mainchat, Third_Worm#4804, Yeah, ya'lk can see that msg
03 Dec 2016 04:34:58 : LimitlessMc, mainchat, Third_Worm#4804, *ya'll
03 Dec 2016 04:35:40 : LimitlessMc, mainchat, AlphaBit#3869, kick self
03 Dec 2016 04:35:56 : LimitlessMc, mainchat, Third_Worm#4804, Ohh
03 Dec 2016 04:36:00 : LimitlessMc, mainchat, Third_Worm#4804, Good to know
03 Dec 2016 04:36:03 : LimitlessMc, mainchat, Third_Worm#4804, Lol
