08 Sep 2016 02:19:07 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Stormzzzy**(Popes of The Raw Man) is now Online!
08 Sep 2016 02:22:12 : Penguins, general, Botfuzzy77#2209, **Impasta Snake**(Suicune) is now Online!
08 Sep 2016 02:23:50 : Cipher, general, Botfuzzy77#2209, **D3NSH1N**(Officer) is now Online!
08 Sep 2016 02:23:58 : LimitlessMc, mainchat, Jay113355#4999, He posted on the forums about it
08 Sep 2016 02:24:01 : LimitlessMc, mainchat, Jay113355#4999, and i checked
08 Sep 2016 02:24:09 : LimitlessMc, mainchat, Jay113355#4999, the store says he didnt do it
08 Sep 2016 02:24:21 : LimitlessMc, mainchat, Jay113355#4999, so he needs to send a transaction id
08 Sep 2016 02:24:30 : LimitlessMc, mainchat, Jay113355#4999, or he needs to check on it
08 Sep 2016 02:24:48 : LimitlessMc, mainchat, Jay113355#4999, i bet you hes mistaking the Shiny Kyogre for a mew
08 Sep 2016 02:24:58 : LimitlessMc, mainchat, Bringer#7277, ok hes off for the night i believe
08 Sep 2016 02:24:58 : LimitlessMc, mainchat, Jay113355#4999, thats the only shiny thing within the last 24 hours
08 Sep 2016 02:25:06 : LimitlessMc, mainchat, Bringer#7277, ok
08 Sep 2016 02:25:17 : LimitlessMc, mainchat, Jay113355#4999, He's playing LOL says discord
08 Sep 2016 02:25:40 : LimitlessMc, mainchat, Bringer#7277, lol ok
08 Sep 2016 02:25:47 : LimitlessMc, mainchat, Jay113355#4999, @Lil Niglet 69
08 Sep 2016 02:25:57 : LimitlessMc, mainchat, Bringer#7277, yup thats him
08 Sep 2016 02:26:01 : LimitlessMc, mainchat, Lil Niglet 69#6045, hai
08 Sep 2016 02:26:03 : LimitlessMc, mainchat, Lil Niglet 69#6045, gimme 30 mins
08 Sep 2016 02:26:03 : LimitlessMc, mainchat, D3NSH1N#8702, lmao
08 Sep 2016 02:26:05 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **TrueXPixels**(Children of The Raw Man) is now Online!
08 Sep 2016 02:26:06 : LimitlessMc, mainchat, Lil Niglet 69#6045, in a league match
08 Sep 2016 02:28:12 : LimitlessMc, mainchat, MegaBlazekien#6580, imma get on pixelmon
08 Sep 2016 02:29:10 : Cipher, general, Botfuzzy77#2209, **D3NSH1N**(Officer) is now Offline!
08 Sep 2016 02:30:53 : My Personal Server, general, Botfuzzy77#2209, **Techni**(Member) is now Offline!
08 Sep 2016 02:36:34 : LimitlessMc, mainchat, MegaBlazekien#6580, @Jay113355  When will event world will be a thing?
08 Sep 2016 02:38:13 : My Personal Server, general, Botfuzzy77#2209, **Techni**(Member) is now Online!
08 Sep 2016 02:41:36 : My Personal Server, general, Botfuzzy77#2209, **Techni**(Member) is now Offline!
08 Sep 2016 02:43:38 : LimitlessMc, mainchat, Lil Niglet 69#6045, k getting on
08 Sep 2016 02:44:00 : LimitlessMc, mainchat, MegaBlazekien#6580, the server restarting Lmao
08 Sep 2016 02:44:23 : LimitlessMc, mainchat, Topheralan#1202, some other psycho was saying he was in creative earlier. when i tpd to him he logged off
08 Sep 2016 02:44:24 : LimitlessMc, mainchat, Lil Niglet 69#6045, welp
08 Sep 2016 02:44:36 : LimitlessMc, mainchat, Lil Niglet 69#6045, is jay there ?
08 Sep 2016 02:44:39 : LimitlessMc, mainchat, Lil Niglet 69#6045, or is he afk ?
08 Sep 2016 02:44:50 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **TrueXPixels**(Children of The Raw Man) is now Online!
08 Sep 2016 02:45:20 : LimitlessMc, mainchat, Harambe#3735, @Topheralan pretty sure he's trying to get you to put him in creative
08 Sep 2016 02:45:36 : LimitlessMc, mainchat, Harambe#3735, O:
08 Sep 2016 02:46:27 : LimitlessMc, mainchat, MegaBlazekien#6580, Harambe praise HARAMBE
08 Sep 2016 02:47:14 : GreenHillGang, general, Botfuzzy77#2209, **Wertfuzzy77**(No Role) is now Online!
08 Sep 2016 02:47:14 : Cipher, general, Botfuzzy77#2209, **Wertfuzzy77**(Grand Master) is now Online!
08 Sep 2016 02:49:43 : My Personal Server, general, Botfuzzy77#2209, **Techni**(Member) is now Online!
08 Sep 2016 02:49:47 : LimitlessMc, mainchat, Topheralan#1202, fuck him
08 Sep 2016 02:51:35 : LimitlessMc, mainchat, Lil Niglet 69#6045, @Jay113355 reposted on forums if u want to check
08 Sep 2016 02:51:42 : My Personal Server, general, Botfuzzy77#2209, **Techni**(Member) is now Offline!
08 Sep 2016 02:53:29 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Daniel**(Children of The Raw Man) is now Online!
08 Sep 2016 02:54:07 : My Personal Server, general, Botfuzzy77#2209, **Techni**(Member) is now Online!
08 Sep 2016 02:56:52 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Daniel**(Children of The Raw Man) is now Offline!
08 Sep 2016 02:56:58 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Offline!
08 Sep 2016 03:02:11 : GreenHillGang, general, Botfuzzy77#2209, **Wertfuzzy77**(No Role) is now Online!
08 Sep 2016 03:02:11 : Cipher, general, Botfuzzy77#2209, **Wertfuzzy77**(Grand Master) is now Online!
08 Sep 2016 03:03:40 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Valkenn**(Children of The Raw Man) is now Online!
