23 Aug 2016 16:34:53 : LimitlessMc, botchat, Botfuzzy77#2209, *Server is Down :(*
23 Aug 2016 16:35:04 : LimitlessMc, mainchat, DerpyGamer112#6000, ?
23 Aug 2016 16:35:32 : LimitlessMc, mainchat, BalPorridge#5861, rip server?
23 Aug 2016 16:35:37 : LimitlessMc, mainchat, DerpyGamer112#6000, server is down
23 Aug 2016 16:35:39 : LimitlessMc, mainchat, Resolate#7058, Ye
23 Aug 2016 16:35:49 : LimitlessMc, mainchat, BalPorridge#5861, rip
23 Aug 2016 16:36:04 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Hey
23 Aug 2016 16:36:05 : LimitlessMc, botchat, Botfuzzy77#2209, You said you are! Oh, whatever. What are you then?
23 Aug 2016 16:36:15 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Can we fuck?
23 Aug 2016 16:36:17 : LimitlessMc, botchat, Botfuzzy77#2209, Who says 'That's it man, game over man, game over!'?
23 Aug 2016 16:36:22 : Cipher, general, Botfuzzy77#2209, **Akinci**(Grunt) is now Offline!
23 Aug 2016 16:36:29 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 I guess that'a
23 Aug 2016 16:36:30 : LimitlessMc, botchat, Botfuzzy77#2209, You answered the question wrong. That means I do not answer you question.
23 Aug 2016 16:36:33 : LimitlessMc, botchat, Resolate#7058, Fuck, fail
23 Aug 2016 16:36:44 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 ?
23 Aug 2016 16:36:46 : LimitlessMc, botchat, Botfuzzy77#2209, Sorry, that information is classified.
23 Aug 2016 16:36:48 : LimitlessMc, mainchat, DerpyGamer112#6000, @Jay113355  server chrashed
23 Aug 2016 16:37:01 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 I am Classified
23 Aug 2016 16:37:02 : LimitlessMc, botchat, Botfuzzy77#2209, Do you mean your name is classified.
23 Aug 2016 16:37:12 : LimitlessMc, mainchat, Dankmemes#8890, probs cause i made 3 stacks of ultras XD
23 Aug 2016 16:37:19 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Nah
23 Aug 2016 16:37:20 : LimitlessMc, botchat, Botfuzzy77#2209, What is your real name?. What did you mean?
23 Aug 2016 16:37:23 : LimitlessMc, mainchat, DerpyGamer112#6000, dankmemes go to #botchat
23 Aug 2016 16:37:31 : LimitlessMc, botchat, Dankmemes#8890, sup
23 Aug 2016 16:37:36 : LimitlessMc, botchat, DerpyGamer112#6000, !meme this meme is dank
23 Aug 2016 16:37:37 : LimitlessMc, botchat, Gerald#7099, http://i.imgflip.com/19dp9b.jpg
23 Aug 2016 16:37:42 : LimitlessMc, botchat, DerpyGamer112#6000, xd
