18 Aug 2016 20:11:09 : LimitlessMc, botchat, Resolate#7058, :conch Should I leave
18 Aug 2016 20:11:11 : LimitlessMc, botchat, DerpyGamer112#6000, ;conch should i leave
18 Aug 2016 20:11:11 : LimitlessMc, botchat, Botfuzzy77#2209, *Reply hazy, try again*
18 Aug 2016 20:11:12 : LimitlessMc, botchat, Botfuzzy77#2209, The Conch has Spoken!
18 Aug 2016 20:11:15 : LimitlessMc, botchat, Thunderlord#7915, @Botfuzzy77 rip
18 Aug 2016 20:11:16 : LimitlessMc, botchat, Botfuzzy77#2209, Donald Trump have blood in his hands.
18 Aug 2016 20:11:17 : Cipher, music, Wertfuzzy77#0274, ;shuffle
18 Aug 2016 20:11:17 : Cipher, music, Botfuzzy77#2209, Shuffling songs...
18 Aug 2016 20:11:17 : Gang ;), general, Survivra#7191, ;image pikachu vagina
18 Aug 2016 20:11:18 : LimitlessMc, botchat, DerpyGamer112#6000, ;conch should i leave
18 Aug 2016 20:11:18 : Gang ;), general, Botfuzzy77#2209, https://i.kinja-img.com/gawker-media/image/upload/s--at-nMcDu--/c_fit,fl_progressive,q_80,w_636/1240132282037982023.png
18 Aug 2016 20:11:18 : LimitlessMc, botchat, Botfuzzy77#2209, *Without a doubt*
18 Aug 2016 20:11:18 : LimitlessMc, botchat, Botfuzzy77#2209, The Conch has Spoken!
18 Aug 2016 20:11:21 : LimitlessMc, botchat, DerpyGamer112#6000, ok
18 Aug 2016 20:11:21 : Gang ;), general, Survivra#7191, ty
18 Aug 2016 20:11:23 : LimitlessMc, botchat, DerpyGamer112#6000, i am leaving
18 Aug 2016 20:11:25 : Gang ;), general, ZyroPlayz#3967, xDDDD
18 Aug 2016 20:11:25 : LimitlessMc, botchat, DerpyGamer112#6000, i guess
18 Aug 2016 20:11:26 : LimitlessMc, botchat, Thunderlord#7915, @Botfuzzy77 fuck you
18 Aug 2016 20:11:27 : LimitlessMc, botchat, Botfuzzy77#2209, Please don't use that sort of language around here.
18 Aug 2016 20:11:27 : LimitlessMc, botchat, Resolate#7058, ;conch SHOULD I LEAVE???!!!!!
18 Aug 2016 20:11:28 : LimitlessMc, botchat, Botfuzzy77#2209, *Outlook not so good*
18 Aug 2016 20:11:28 : LimitlessMc, botchat, Botfuzzy77#2209, The Conch has Spoken!
18 Aug 2016 20:11:37 : LimitlessMc, botchat, Thunderlord#7915, @Botfuzzy77 do you hate me?
18 Aug 2016 20:11:38 : LimitlessMc, botchat, Botfuzzy77#2209, No, I don't hate you. Why would I?
18 Aug 2016 20:11:40 : LimitlessMc, botchat, DerpyGamer112#6000, well bye
18 Aug 2016 20:11:44 : LimitlessMc, botchat, Resolate#7058, Bye
18 Aug 2016 20:11:45 : LimitlessMc, botchat, DerpyGamer112#6000, i have to leave
18 Aug 2016 20:11:45 : Gang ;), general, ZyroPlayz#3967, ;image allolashipping
18 Aug 2016 20:11:46 : Gang ;), general, Botfuzzy77#2209, ERROR
18 Aug 2016 20:11:48 : LimitlessMc, botchat, Thunderlord#7915, @Botfuzzy77 what am I?
18 Aug 2016 20:11:50 : Gang ;), general, ZyroPlayz#3967, shit
18 Aug 2016 20:11:50 : LimitlessMc, botchat, Resolate#7058, I'mma go too
18 Aug 2016 20:11:50 : LimitlessMc, botchat, Botfuzzy77#2209, What is about you to say?
18 Aug 2016 20:11:57 : LimitlessMc, botchat, DerpyGamer112#6000, ;conch should i go back to minecraft now
18 Aug 2016 20:11:58 : LimitlessMc, botchat, Botfuzzy77#2209, *My sources say no*
18 Aug 2016 20:11:58 : LimitlessMc, botchat, Botfuzzy77#2209, The Conch has Spoken!
18 Aug 2016 20:11:58 : Gang ;), general, Botfuzzy77#2209, **Survivra**(Muted) is now Offline!
18 Aug 2016 20:12:00 : LimitlessMc, botchat, Thunderlord#7915, Bye guys
18 Aug 2016 20:12:02 : Gang ;), general, Botfuzzy77#2209, Welcome @Survivra to Gang ;)!
18 Aug 2016 20:12:02 : Gang ;), general, ZyroPlayz#3967, ;image shit
18 Aug 2016 20:12:02 : Gang ;), general, Botfuzzy77#2209, **Survivra**(No Role) is now Online!
18 Aug 2016 20:12:02 : LimitlessMc, botchat, DerpyGamer112#6000, well
18 Aug 2016 20:12:02 : Gang ;), general, Botfuzzy77#2209, https://www.google.com/wallet/static/images/pages/home/sections/welcome/welcome-desktop.png
18 Aug 2016 20:12:05 : LimitlessMc, botchat, Resolate#7058, Bye
18 Aug 2016 20:12:05 : Gang ;), general, Survivra#7191, Im back
18 Aug 2016 20:12:06 : Gang ;), general, Survivra#7191, :3
18 Aug 2016 20:12:07 : LimitlessMc, botchat, DerpyGamer112#6000, bai
18 Aug 2016 20:12:09 : Gang ;), general, ZyroPlayz#3967, xD
18 Aug 2016 20:12:13 : LimitlessMc, botchat, DerpyGamer112#6000, i am in mc in like 10 mins
18 Aug 2016 20:12:14 : LimitlessMc, botchat, DerpyGamer112#6000, xD
18 Aug 2016 20:12:17 : Gang ;), general, xPalkia(lugia)#8149, cant give urself groups tho bb
18 Aug 2016 20:12:21 : LimitlessMc, botchat, DerpyGamer112#6000, i guess
18 Aug 2016 20:12:26 : Gang ;), general, Survivra#7191, lee
18 Aug 2016 20:12:32 : LimitlessMc, botchat, DerpyGamer112#6000, ;afk going showerin :/
18 Aug 2016 20:12:32 : LimitlessMc, botchat, Botfuzzy77#2209, DerpyGamer112 is now AFK for reason:
**going showerin :/**
