20 Jul 2016 02:47:39 : Cipher, general, Skyd#9935, I still gotta build like a lobby area for trades to happen and stuff 
20 Jul 2016 02:47:54 : Cipher, general, Kburn1999#5526, i could help with that when servers are better
20 Jul 2016 02:48:22 : Cipher, general, Kburn1999#5526, specially with my ocd arena frame would bother me
20 Jul 2016 02:48:36 : Cipher, general, Skyd#9935, Help would be appreciated 
20 Jul 2016 02:49:05 : Cipher, general, Skyd#9935, I still gotta lvl like 90 Pokemon 
20 Jul 2016 02:49:21 : Cipher, general, Kburn1999#5526, that i could help to since i need to redo my fiery orb
20 Jul 2016 02:49:27 : Cipher, general, Kburn1999#5526, i just sit at bosstower
20 Jul 2016 02:51:17 : Cipher, general, Skyd#9935, Sounds gooood 
20 Jul 2016 02:51:19 : LimitlessMc, mainchat, xPalkia(lugia)#8149, ;server
20 Jul 2016 02:51:20 : LimitlessMc, mainchat, Botfuzzy77#2209, *Server is Down :(*
20 Jul 2016 02:51:24 : LimitlessMc, mainchat, xPalkia(lugia)#8149, Well
20 Jul 2016 02:51:37 : Cipher, general, Skyd#9935, I'm gonna look at designs for this lobby 
20 Jul 2016 02:51:56 : LimitlessMc, mainchat, Botfuzzy77#2209, Welcome @hollowminer to LimitlessMc!
20 Jul 2016 02:51:59 : Cipher, general, Kburn1999#5526, my other fiery orb i had 30 kills left till i could summon moltres then i through the orb into the cactus pit
20 Jul 2016 02:52:16 : Cipher, general, Skyd#9935, D:
20 Jul 2016 02:52:41 : Cipher, general, Kburn1999#5526, now i need 350
20 Jul 2016 02:53:00 : Cipher, general, Kburn1999#5526, and all of them have been bosses
20 Jul 2016 02:53:23 : Cipher, general, Botfuzzy77#2209, **Allianths**(Officer) is now Online!
20 Jul 2016 02:53:55 : Cipher, general, Botfuzzy77#2209, **Skyd**(Champ) is now Offline!
20 Jul 2016 02:54:45 : Cipher, general, Kburn1999#5526, its back online
20 Jul 2016 02:55:49 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Online!
20 Jul 2016 02:57:49 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Offline!
20 Jul 2016 02:58:30 : Cipher, general, Kburn1999#5526, ;join
20 Jul 2016 02:58:30 : Cipher, general, Botfuzzy77#2209, Sorry, I'm already connected to a channel
20 Jul 2016 03:02:04 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Online!
20 Jul 2016 03:03:08 : LimitlessMc, mainchat, xPalkia(lugia)#8149, ;server
20 Jul 2016 03:03:09 : LimitlessMc, mainchat, Botfuzzy77#2209, **Server Status**
 *Online Players*: 64 players out of 100
 *Ping*: 149.198 ms
 *MC Version*: 1.8.9
20 Jul 2016 03:03:09 : LimitlessMc, mainchat, Botfuzzy77#2209, **Players Online**:
 *keetoverde00, BigNastySgt, Glob, _Savage_PvP, joman129, JordanBelford, rebeccakp, leon, TACOOOOOOOO33, YouHackIRage, SamuelVG, Meltzar...*
20 Jul 2016 03:03:12 : LimitlessMc, mainchat, xPalkia(lugia)#8149, ...
20 Jul 2016 03:03:20 : LimitlessMc, mainchat, xPalkia(lugia)#8149, I got timed out
20 Jul 2016 03:03:47 : LimitlessMc, mainchat, xPalkia(lugia)#8149, @Allianths are u on the server? Or was it just me who got kicked
20 Jul 2016 03:05:21 : League Of Legends, general, Botfuzzy77#2209, **ThaOriginal**(Security) is now Online!
20 Jul 2016 03:05:30 : LimitlessMc, mainchat, xPalkia(lugia)#8149, ..
20 Jul 2016 03:05:41 : LimitlessMc, mainchat, xPalkia(lugia)#8149, ;server
20 Jul 2016 03:05:41 : LimitlessMc, mainchat, Botfuzzy77#2209, **Server Status**
 *Online Players*: 71 players out of 100
 *Ping*: 140.599 ms
 *MC Version*: 1.8.9
20 Jul 2016 03:05:41 : LimitlessMc, mainchat, Botfuzzy77#2209, **Players Online**:
 *GirlFighter59, jayz12394, Resynchro, GetRekdM8, allianths, t19sniper, iammachew, Luke14214, SpaceRanger156, HamzA194, VortexJarx7, PDiddleCream...*
20 Jul 2016 03:05:45 : LimitlessMc, mainchat, xPalkia(lugia)#8149, ?
