09 May 2017 23:32:24 : LimitlessMc, mainchat, Lean#1524, Notice me senpai @Wertfuzzy77
09 May 2017 23:32:34 : LimitlessMc, mainchat, Wertfuzzy77#0274, finals 😛
09 May 2017 23:33:09 : LimitlessMc, mainchat, Third_Worm#4804, @Crystal4209 I know! If ya wanna talk i'm here le
09 May 2017 23:33:20 : LimitlessMc, mainchat, Third_Worm#4804, also i'ma strangle those damn bunnys who tease my dog
09 May 2017 23:33:26 : LimitlessMc, mainchat, Lean#1524, fuck finals man
09 May 2017 23:33:28 : LimitlessMc, mainchat, Crystal4209#4698, Bruh
09 May 2017 23:33:36 : LimitlessMc, botchat, Crystal4209#4698, ;music
09 May 2017 23:33:38 : LimitlessMc, botchat, Botfuzzy77#2209, 
09 May 2017 23:33:51 : LimitlessMc, mainchat, Wertfuzzy77#0274, only 1 more day xD
09 May 2017 23:34:02 : LimitlessMc, mainchat, Wertfuzzy77#0274, then I'm finally done with this semester
09 May 2017 23:34:02 : LimitlessMc, mainchat, Crystal4209#4698, Oh same!
09 May 2017 23:34:02 : LimitlessMc, mainchat, Third_Worm#4804, i got a whole month to go
09 May 2017 23:34:07 : LimitlessMc, mainchat, Third_Worm#4804, ;-;
09 May 2017 23:34:19 : LimitlessMc, mainchat, Crystal4209#4698, Exept with the semester bit
09 May 2017 23:34:20 : LimitlessMc, mainchat, Wertfuzzy77#0274, tomorrow I have my last 2 finals
09 May 2017 23:34:26 : LimitlessMc, mainchat, Wertfuzzy77#0274, then its summerrrrrr
09 May 2017 23:34:37 : LimitlessMc, mainchat, Crystal4209#4698, Just gonna be done with 2 naplan tests tomorrow xD
09 May 2017 23:34:39 : LimitlessMc, mainchat, Wertfuzzy77#0274, I mean, I have a job... but its still summerrr
09 May 2017 23:34:57 : LimitlessMc, mainchat, Crystal4209#4698, Its winter here xD
09 May 2017 23:35:04 : LimitlessMc, mainchat, Crystal4209#4698, Best season
09 May 2017 23:35:35 : LimitlessMc, mainchat, Crystal4209#4698, WILD DOGGOS!
09 May 2017 23:36:16 : LimitlessMc, mainchat, Crystal4209#4698, Well not wild but there my neighbors xD
09 May 2017 23:36:29 : LimitlessMc, mainchat, Third_Worm#4804, doooogggos
09 May 2017 23:36:46 : LimitlessMc, mainchat, Crystal4209#4698, One of them just came up sniffing me xD
09 May 2017 23:37:22 : LimitlessMc, mainchat, Crystal4209#4698, @Third_Worm do you wanna voice xD
09 May 2017 23:37:51 : LimitlessMc, mainchat, Third_Worm#4804, i mean
09 May 2017 23:38:02 : LimitlessMc, mainchat, Third_Worm#4804, i'm not gonna talk, tired atm, but i'll listen
09 May 2017 23:38:03 : LimitlessMc, mainchat, Third_Worm#4804, 😄
09 May 2017 23:38:11 : LimitlessMc, mainchat, Crystal4209#4698, I might talk
