20 Sep 2016 22:04:53 : The Wild Weeaboos, general, Tally#2764, lol i know
20 Sep 2016 22:05:04 : The Wild Weeaboos, general, Tally#2764, but the mechanic of the first boss is simple
20 Sep 2016 22:05:08 : The Wild Weeaboos, general, enragednuke#2565, i dont think many pugs will be able to heroic
20 Sep 2016 22:05:15 : The Wild Weeaboos, general, enragednuke#2565, because of the sheer damage output / damage req
20 Sep 2016 22:05:19 : The Wild Weeaboos, general, enragednuke#2565, and people not being retarded factor
20 Sep 2016 22:05:29 : The Wild Weeaboos, general, Tally#2764, same
20 Sep 2016 22:06:46 : The Wild Weeaboos, general, enragednuke#2565, same
20 Sep 2016 22:06:49 : The Wild Weeaboos, general, enragednuke#2565, @Botfuzzy77 same
20 Sep 2016 22:06:49 : The Wild Weeaboos, general, Botfuzzy77#2209, No es inposible tu tienes que ser un humano.
20 Sep 2016 22:07:13 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Offline!
20 Sep 2016 22:07:13 : Team Harmony, general, Botfuzzy77#2209, **Topheralan**(Team Harmony) is now Offline!
20 Sep 2016 22:09:12 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Online!
20 Sep 2016 22:09:12 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Online!
20 Sep 2016 22:10:58 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **The Fat Walrus**(Priests of The Raw Man) is now Online!
20 Sep 2016 22:11:41 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **The Fat Walrus**(Priests of The Raw Man) is now Online!
20 Sep 2016 22:13:21 : Temp Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Online!
20 Sep 2016 22:13:21 : My Personal Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Online!
20 Sep 2016 22:16:28 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Valkenn**(Children of The Raw Man) is now Online!
20 Sep 2016 22:16:32 : Cipher, general, Botfuzzy77#2209, **Es Fusel**(Grunt) is now Online!
20 Sep 2016 22:16:32 : Temp Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Offline!
20 Sep 2016 22:16:32 : My Personal Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Offline!
20 Sep 2016 22:17:00 : LimitlessMc, botchat, Stinky#5847, ;luck
20 Sep 2016 22:17:00 : LimitlessMc, botchat, Botfuzzy77#2209, Stinky's luck is 22.87 out of 100, which is **Pretty Bad**
20 Sep 2016 22:18:29 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Valkenn**(Children of The Raw Man) is now Offline!
20 Sep 2016 22:20:06 : Cipher, general, Botfuzzy77#2209, **D3NSH1N**(Officer) is now Online!
20 Sep 2016 22:20:06 : Team Harmony, general, Botfuzzy77#2209, **D3NSH1N**(Team Harmony) is now Online!
20 Sep 2016 22:20:33 : Cipher, general, Botfuzzy77#2209, **Es Fusel**(Grunt) is now Offline!
20 Sep 2016 22:20:47 : Cipher, general, Botfuzzy77#2209, **Es Fusel**(Grunt) is now Online!
20 Sep 2016 22:21:35 : Team Harmony, general, Botfuzzy77#2209, **Topheralan**(Team Harmony) is now Online!
20 Sep 2016 22:21:35 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Online!
20 Sep 2016 22:23:06 : Temp Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Online!
20 Sep 2016 22:23:06 : My Personal Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Online!
20 Sep 2016 22:25:06 : My Personal Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Offline!
20 Sep 2016 22:25:06 : Temp Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Offline!
20 Sep 2016 22:27:16 : Penguins, general, Botfuzzy77#2209, **Resolate**(Suicune) is now Offline!
20 Sep 2016 22:27:34 : The Wild Weeaboos, general, Tally#2764, we got it to 10%
20 Sep 2016 22:27:36 : The Wild Weeaboos, general, enragednuke#2565, lul
20 Sep 2016 22:27:38 : The Wild Weeaboos, general, Tally#2764, then it enraged
20 Sep 2016 22:27:41 : The Wild Weeaboos, general, enragednuke#2565, LOLL
20 Sep 2016 22:27:42 : The Wild Weeaboos, general, enragednuke#2565, LOOOOL
20 Sep 2016 22:27:47 : The Wild Weeaboos, general, Tally#2764, got fucking smacked
20 Sep 2016 22:27:49 : The Wild Weeaboos, general, Tally#2764, so hard
20 Sep 2016 22:27:50 : The Wild Weeaboos, general, enragednuke#2565, go home
20 Sep 2016 22:27:52 : The Wild Weeaboos, general, enragednuke#2565, from nik
20 Sep 2016 22:30:06 : The Wild Weeaboos, general, Ryan#3332, moew likw
20 Sep 2016 22:30:16 : The Wild Weeaboos, general, enragednuke#2565, LOL
20 Sep 2016 22:30:16 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Aethex**(Bots) is now Online!
20 Sep 2016 22:30:17 : The Wild Weeaboos, general, enragednuke#2565, i saw that
20 Sep 2016 22:30:19 : The Wild Weeaboos, general, Ryan#3332, more like succ
